type	review
1	Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(
0	Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832
1	Babe ? I lost you ... :-(
1	Ok... Help me ask if she's working tmr a not?
1	I'm not driving... Raining! Then i'll get caught at e mrt station lor.
1	Not a drop in the tank
1	(That said can you text him one more time?)
1	Sorry, I'll call later
1	Ok i go change also...
0	1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(£1.50p. m)
1	Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.
1	Sorry man, accidentally left my phone on silent last night and didn't check it til I got up
1	Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee
1	He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment
1	Hey! There's veggie pizza... :/
1	Yun buying... But school got offer 2000 plus only...
1	You sure your neighbors didnt pick it up
1	K. I will sent it again
0	Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
1	New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!
1	Well. Im computerless. Time to make some oreo truffles
1	Haha yeah I see that now, be there in a sec
1	I am not having her number sir
1	Lol now I'm after that hot air balloon!
1	Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
1	Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil
1	Yeah, we can probably swing by once my roommate finishes up with his girl
0	Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!
1	Happy new years melody!
1	Ü dun need to pick ur gf?
1	Yay! You better not have told that to 5 other girls either.
1	Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
1	Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? 
1	Just nw i came to hme da..
1	I'm outside islands, head towards hard rock and you'll run into me
1	To day class is there are no class.
1	I'm in chennai velachery:)
1	You flippin your shit yet?
1	K give me a sec, breaking a  &lt;#&gt;  at cstore
1	Am i that much bad to avoid like this?
1	Yo, you around? Just got my car back
1	Annoying isn't it.
1	Goodmorning, Today i am late for  &lt;#&gt; min.
1	There's no point hangin on to mr not right if he's not makin u happy
1	All will come alive.better correct any good looking figure there itself..
1	In that case I guess I'll see you at campus lodge
1	We're done...
1	Come to my home for one last time i wont do anything. Trust me.
1	I was up all night too worrying about this appt. It's a s1e we missed a girls night out with quizzes popcorn and you doing my hair.
0	Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 £3/wk 087016248
1	Ok... C ya...
0	You have 1 new voicemail. Please call 08719181503
1	What he said is not the matter. My mind saying some other matter is there.
1	He also knows about lunch menu only da. . I know
1	Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx
1	NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
1	Otherwise had part time job na-tuition..
1	I know she called me
1	Me also da, i feel yesterday night  wait til 2day night dear.
1	Thanks for understanding. I've been trying to tell sura that.
0	WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
1	The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
0	As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr
1	I need you to be in my strong arms...
1	Also maaaan are you missing out
1	His bday real is in april .
1	Guessin you ain't gonna be here before 9?
1	Ok then i will come to ur home after half an hour
1	Yo, the game almost over? Want to go to walmart soon
1	Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!
1	I'll text now! All creepy like so he won't think that we forgot
1	that would be good … I'll phone you tomo lunchtime, shall I, to organise something?
0	You have 1 new voicemail. Please call 08719181513.
1	Damn, can you make it tonight or do you want to just wait til tomorrow
1	K..k..i'm also fine:)when will you complete the course?
1	True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier.
0	No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
1	Prakesh is there know.
1	Teach me apps da. When you come to college.
1	Rofl betta invest in some  anti aging products
0	You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
1	sir, you will receive the account no another 1hr time. Sorry for the delay.
0	Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p
1	So ü'll be submitting da project tmr rite?
0	FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.
1	Jus ans me lar. U'll noe later.
1	I want to send something that can sell fast.  &lt;#&gt; k is not easy money.
1	have got * few things to do. may be in * pub later.
1	1's finish meeting call me.
1	Lol ok. I'll snatch her purse too.
1	"Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx"
1	Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
1	How much are we getting?
1	Is ur paper in e morn or aft tmr?
1	Dear relieved of westonzoyland, all going to plan this end too!
1	Hope you are having a great new semester. Do wish you the very best. You are made for greatness.
1	Oh yes I can speak txt 2 u no! Hmm. Did u get  email?
1	I want to show you the world, princess :) how about europe?
1	Nobody can decide where to eat and dad wants Chinese
1	No shoot me. I'm in the docs waiting room. :/
1	Now? I'm going out 4 dinner soon..
1	Hello which the site to download songs its urgent pls
1	I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep! 
1	Horrible gal. Me in sch doing some stuff. How come u got mc?
1	HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x
1	I call you later, don't have network. If urgnt, sms me.
1	Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
0	Please CALL 08712402779 immediately as there is an urgent message waiting for you
1	Yeah like if it goes like it did with my friends imma flip my shit in like half an hour
1	Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... 
1	What your plan for pongal?
1	Just wait till end of march when el nino gets himself. Oh.
1	Not yet chikku..going to room nw, i'm in bus..
1	Am also doing in cbe only. But have to pay.
1	Honey boo I'm missing u.
1	We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us
1	Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem
1	Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!
0	Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)
1	Ok. No wahala. Just remember that a friend in need ...
1	I will see in half an hour
1	Im in inperialmusic listening2the weirdest track ever byleafcutter john-sounds like insects being molested&someone plumbing,remixed by evil men on acid!
1	"Hey sorry I didntgive ya a a bellearlier hunny,just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx."
1	SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.
0	Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls£1/minmoremobsEMSPOBox45PO139WA
1	Tee hee. Off to lecture, cheery bye bye.
1	Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..
1	If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number
1	Ok...
0	network operator. The service is free. For T & C's visit 80488.biz
1	Let me know how to contact you. I've you settled in a room. Lets know you are ok.
1	Wot u up 2 u weirdo?
1	Can do lor...
1	Dont put your phone on silent mode ok
1	Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..
1	Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?
1	Oh ho. Is this the first time u use these type of words
1	Am I the only one who doesn't stalk profiles?
1	Ever green quote ever told by Jerry in cartoon "A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt
1	Yes i thought so. Thanks.
1	But if she.s drinkin i'm ok.
1	Just wondering, the others just took off
1	Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng
1	What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?
1	Happy new year to u too!
1	Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May
1	Eat jap done oso aft ur lect wat... Ü got lect at 12 rite... 
1	Hey babe! I saw you came online for a second and then you disappeared, what happened ?
1	Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes
1	Happy birthday... May all ur dreams come true...
1	Aiyah u did ok already lar. E nydc at wheellock?
1	TELL HER I SAID EAT SHIT.
1	Sure! I am driving but will reach my destination soon.
1	K so am I, how much for an 8th? Fifty?
1	Your daily text from me – a favour this time
1	Great to hear you are settling well. So what's happenin wit ola?
1	Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
1	I tot u reach liao. He said t-shirt.
1	FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT
1	I cant pick the phone right now. Pls send a message
1	Your right! I'll make the appointment right now.
1	Designation is software developer and may be she get chennai:)
0	Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 
0	Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply
1	I jokin oni lar.. Ü busy then i wun disturb ü.
1	Ok, be careful ! Don't text and drive !
1	I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.
1	U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
1	I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie
1	How abt making some of the pics bigger?
1	Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.
1	Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)
1	Why nothing. Ok anyway give me treat
0	Win the newest “Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!
1	Ok...
1	Correct. So how was work today
1	Just sent again. Do you scream and moan in bed, princess?
1	I wake up long ago already... Dunno, what other thing?
1	Oh just getting even with u.... u?
1	I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?
1	Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
1	Yeah jay's sort of a fucking retard
1	Sorry, was in the bathroom, sup
0	Ur balance is now £500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!
1	My exam is for february 4. Wish you a great day.
1	I dont know what to do to come out of this so only am ask questions like this dont mistake me.
1	Aight no rush, I'll ask jay
1	Good Morning plz call me sir
1	It's ok lar. U sleep early too... Nite...
1	Oh... Icic... K lor, den meet other day...
1	Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*
1	Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)
1	Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that
1	Then she buying today? Ü no need to c meh...
1	Aight sorry I take ten years to shower. What's the plan?
1	Every monday..nxt week vl be completing..
1	Might ax well im there.
1	Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay
1	Yeah I'll try to scrounge something up
1	Crazy ar he's married. Ü like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.
1	Were somewhere on Fredericksburg
1	Que pases un buen tiempo or something like that
1	Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired
1	She doesnt need any test.
1	Nothing much, chillin at home. Any super bowl plan?
0	FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk
1	Bugis oso near wat... 
1	Yo theres no class tmrw right?
1	Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM
1	Goodnight, sleep well da please take care pa. Please.
1	Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...
1	Convey my regards to him
1	U ned to convince him tht its not possible witot hurting his feeling its the main
1	Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy
1	If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.
1	&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...
1	Yo dude guess who just got arrested the other day
1	Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
1	What does the dance river do?
1	Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger.
1	Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt
0	HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k
1	Bbq this sat at mine from 6ish. Ur welcome 2 come
1	I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough …
1	Alright. I'm out--have a good night!
1	Did you try making another butt.
1	Hope you are feeling great. Pls fill me in. Abiola
1	I though we shd go out n have some fun so bar in town or something – sound ok?
1	1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)
0	Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324
0	500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION
1	We're finally ready fyi
1	Auntie huai juan never pick up her phone
0	Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
1	Ya tel, wats ur problem..
0	No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
1	i dnt wnt to tlk wid u
1	We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. "paths are made by walking.. not by waiting.." Goodnight!
1	Its ok my arm is feeling weak cuz i got a shot so we can go another time
1	Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..
1	Storming msg: Wen u lift d phne, u say "HELLO" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? "Margaret Hello" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@
1	That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?
1	All e best 4 ur exam later.
1	Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
1	Oh k.i think most of wi and nz players unsold.
1	Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.
1	I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy
1	Haha just kidding, papa needs drugs
1	Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...
1	Oh ok..
1	R we still meeting 4 dinner tonight?
1	Thats cool! I am a gentleman and will treat you with dignity and respect.
1	Shall i start from hear.
1	Then we wait 4 u lor... No need 2 feel bad lar...
1	No did you check? I got his detailed message now
1	You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
1	No, I decided that only people who care about stuff vote and caring about stuff is for losers
1	Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...
1	You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
1	cool. We will have fun practicing making babies!
1	Actually getting ready to leave the house.
1	K..k..any special today?
0	URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU
1	Then we gotta do it after that
1	I've got ten bucks, jay is being noncomittal
1	Where at were hungry too
1	Pls speak to that customer machan.
1	somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
1	Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.
0	Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs
1	So wats ur opinion abt him and how abt is character?
1	Jay is snickering and tells me that x is totally fucking up the chords as we speak
1	No..few hours before.went to hair cut .
1	No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...
1	Lmao. Take a pic and send it to me.
1	"Speak only when you feel your words are better than the silence..." Gud mrng:-)
1	No. She's currently in scotland for that.
1	Do you work all this week ?
0	Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16
1	Lol great now im getting hungry.
1	Yes.. now only saw your message..
1	I'll be at mu in like  &lt;#&gt;  seconds
1	Ok...
1	THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
1	Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who "smokes too much" for the entire month of february, I'll come up
0	For sale - arsenal dartboard. Good condition but no doubles or trebles!
1	Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!
1	My painful personal thought- "I always try to keep everybody happy all the time. But nobody recognises me when i am alone"
1	Thanks for ve lovely wisheds. You rock
1	You intrepid duo you! Have a great time and see you both soon. 
1	I asked sen to come chennai and search for job.
1	Dad went out oredi... 
1	I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet.
1	Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
1	Arms fine, how's Cardiff and uni? 
1	In fact when do you leave? I think addie goes back to school tues or wed
1	Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: "GOODMORNING &amp; HAVE A NICE DAY" :)
1	Ya:)going for restaurant..
1	Its ok., i just askd did u knw tht no?
0	Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.
1	Those ducking chinchillas
1	I am in a marriage function
1	Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.
1	Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!
0	As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts
1	say thanks2. 
1	Msg me when rajini comes.
1	Ya! when are ü taking ure practical lessons? I start in june..  
1	That's good, because I need drugs
1	Stupid.its not possible
1	Can ü all decide faster cos my sis going home liao..
0	Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
1	U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..
0	CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA
1	Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.
0	Bought one ringtone and now getting texts costing 3 pound offering more tones etc
1	Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D
1	Kinda. First one gets in at twelve! Aah. Speak tomo
0	09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!
1	Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again...
1	Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.
